,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,method,year,filetype
0,WI,154.22747020162635,165.25565333630388,175.1030411050462,171613.0,2117.5964742556166,178.92926876667622,61.47409649278975,84.39068984392794,PER_DIEM_wage_adj,7121.788532334042,estimated_allowed_amount_C,2012,max
0,WV,198.5,213.26,278.99,82140.0,2371.45,260.35267092768447,108.75,171.1223328042051,PER_DIEM,29282.852784353126,estimated_allowed_amount_C,2012,max
0,WV,258.3872148346956,284.94098494098495,352.3809523809524,80220.0,3521.0838901262064,339.20808581071276,146.29406865920237,223.40562624419965,PER_DIEM_wage_adj,49910.07383756303,estimated_allowed_amount_C,2012,max
0,WY,148.94,168.1,179.71,16943.0,1067.5,177.0830431446615,53.85,75.96382914492936,PER_DIEM,5770.50333836002,estimated_allowed_amount_C,2012,max
0,WY,158.17757009345794,170.68300879707422,191.50853387045478,14575.0,1162.7539503386004,187.3100938306181,57.0868228559313,80.18406297481503,PER_DIEM_wage_adj,6429.483955149102,estimated_allowed_amount_C,2012,max
0,AK,515.14,614.71,753.13,5850.0,5409.0,677.8013931623932,348.97,390.5005131689132,PER_DIEM,152490.65078518452,estimated_allowed_amount_C,2013,max
0,AK,399.57054735691423,490.926836886078,589.3964238307176,5229.0,4452.951346011361,546.1518595122988,272.4837979230109,314.63669802870214,PER_DIEM_wage_adj,98996.2517464047,estimated_allowed_amount_C,2013,max
0,AL,177.03,189.0,196.3,219473.0,834.5,203.9441137634242,62.77,83.3549723744025,PER_DIEM,6948.051419537403,estimated_allowed_amount_C,2013,max
0,AL,224.4222607597892,247.390166643713,267.42030613677855,202918.0,1171.8859710714787,266.00606296765125,88.14773206010393,110.83414558121464,PER_DIEM_wage_adj,12284.207826717882,estimated_allowed_amount_C,2013,max
0,AR,,,,,,,,,,,no_valid_method,2013,max
0,AZ,121.57749999999999,142.29,161.34,6050.0,823.75,153.97400661157025,17.73,71.86063713188055,PER_DIEM,5163.951168999811,estimated_allowed_amount_C,2013,max
0,AZ,123.69633761823914,149.03121122458717,170.05009801786102,6315.0,786.2460628042378,157.19276095289223,19.01748364260431,69.84435575705211,PER_DIEM_wage_adj,4878.2340311176595,estimated_allowed_amount_C,2013,max
0,CA,166.29,187.07,206.43,560160.0,1100.0,210.57871227863467,4.25,93.08615415359948,PER_DIEM,8665.032095107686,estimated_allowed_amount_C,2013,max
0,CA,128.69112503050516,143.74187629023626,160.86390628813146,542805.0,1062.9046284665185,162.88560713295664,3.457252094688034,73.07403139444261,PER_DIEM_wage_adj,5339.814064235984,estimated_allowed_amount_C,2013,max
0,CO,178.21,192.83,207.11,133241.0,830.33,201.73642039612432,36.84,57.24935306537334,PER_DIEM,3277.4884264037723,estimated_allowed_amount_C,2013,max
0,CO,177.98295454545456,191.06071392250587,204.96500851144316,140007.0,793.1321043079569,200.27509117198562,35.18960741236031,56.852941025979185,PER_DIEM_wage_adj,3232.2569033034674,estimated_allowed_amount_C,2013,max
0,CT,216.165,235.83,245.55,188883.0,1938.0,266.3975271993774,125.03,179.23403874474798,PER_DIEM,32124.840644753815,estimated_allowed_amount_C,2013,max
0,CT,183.43963553530753,197.25825742938633,216.36765111785812,175737.0,1783.0527187413745,228.6856770472902,94.93545937737282,154.55058940242066,PER_DIEM_wage_adj,23885.884684635617,estimated_allowed_amount_C,2013,max
0,DC,234.33,253.67,283.57,41182.0,1134.0,276.46367029284636,36.58,90.1165359707797,PER_DIEM,8120.99005537283,estimated_allowed_amount_C,2013,max
0,DC,212.055539919317,238.7177446856883,270.8603058448259,2928.0,1063.8896707008162,254.0973436220683,38.73721737498827,79.48276156276785,PER_DIEM_wage_adj,6317.509385643806,estimated_allowed_amount_C,2013,max
0,DE,416.8,453.63,491.13,20.0,1088.6,484.40650000000005,347.52,166.2864303187662,PER_DIEM,27651.17690815789,estimated_allowed_amount_C,2013,max
0,DE,356.838484443988,413.1943761675352,431.5227436081733,19.0,1018.6207541873304,461.2839272277756,341.6773178645168,182.70841388449298,PER_DIEM_wage_adj,33382.36450418719,estimated_allowed_amount_C,2013,max
0,FL,,,,,,,,,,,no_valid_method,2013,max
0,GA,,,,,,,,,,,no_valid_method,2013,max
0,HI,224.195,231.3,257.9,91.0,902.5,258.11824175824177,198.53,91.45115188623201,PER_DIEM,8363.313181318677,estimated_allowed_amount_C,2013,max
0,HI,212.32755406413128,232.17747949291572,240.79045488441463,64.0,841.2565249813572,251.11157718120805,185.05779269202088,98.7099348493778,PER_DIEM_wage_adj,9743.65123796841,estimated_allowed_amount_C,2013,max
0,IA,145.13,161.87,175.37,130355.0,1890.0,170.48472647769555,106.0,91.48918008601757,PER_DIEM,8370.270072811752,estimated_allowed_amount_C,2013,max
0,IA,167.83485856905156,184.2893066698599,200.45503532511077,128213.0,2433.7444240356863,196.4318303662806,118.26086956521739,106.14706218894648,PER_DIEM_wage_adj,11267.198811344071,estimated_allowed_amount_C,2013,max
0,ID,,,,,,,,,,,no_valid_method,2013,max
0,IL,,,,,,,,,,,no_valid_method,2013,max
0,IN,157.29,169.1,178.44,317237.0,579.56,171.19867572193658,8.49,45.339129925805366,PER_DIEM,2055.63670242906,estimated_allowed_amount_C,2013,max
0,IN,169.56474781293878,185.76494427558256,202.3961284230406,296346.0,599.0321057601511,189.32824937976034,19.939209726443767,51.13641331834498,PER_DIEM_wage_adj,2614.93276706461,estimated_allowed_amount_C,2013,max
0,KS,141.29,157.165,174.32,1842.0,600.0,167.44390879478826,39.0,56.58492436532922,PER_DIEM,3201.8536654300287,estimated_allowed_amount_C,2013,max
0,KS,162.88446031563186,180.95535825934726,197.93672627235213,1833.0,624.0898689411275,193.73629994991174,44.92569980417003,67.27545975850327,PER_DIEM_wage_adj,4525.987485717994,estimated_allowed_amount_C,2013,max
0,KY,164.87,176.7,194.35,142475.0,1962.33,192.1396142481137,45.32,79.29956144146882,PER_DIEM,6288.42044480929,estimated_allowed_amount_C,2013,max
0,KY,204.3331076506432,213.5711565316745,225.47924336676402,127755.0,2491.214929541704,232.99180448126913,47.66512410601599,95.29369322301064,PER_DIEM_wage_adj,9080.887968081264,estimated_allowed_amount_C,2013,max
0,LA,116.47,129.29,142.13,192601.0,937.5,138.38263311197764,60.48,74.36160532653749,PER_DIEM,5529.6483467397275,estimated_allowed_amount_B,2013,max
