,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,year,filetype,method
0,NV,118.91,125.92,239.2,73205.0,999.75,187.29472699952188,25.36,111.9911264172668,PER_DIEM,12542.012396208233,2017,taf,allowed_amount
0,NV,100.57038935273208,112.4328345870877,195.26328841861618,66384.0,826.4445730346367,164.71586853408917,20.963875340993635,104.44595255335311,PER_DIEM_wage_adj,10908.957004777289,2017,taf,allowed_amount
0,NY,219.94,269.31,302.19,2911218.0,1597.3,277.2163317106448,4.58,93.55251710695018,PER_DIEM,8752.073457046205,2017,taf,allowed_amount
0,NY,197.76536312849163,218.78592236831744,245.1117318435754,2594239.0,1239.3699565487275,233.59568018837263,57.223774053382996,73.46016419715608,PER_DIEM_wage_adj,5396.395723873132,2017,taf,allowed_amount
0,OH,182.73,195.6,216.99,390339.0,2774.08,227.0168693366535,27.58,133.7958413768238,PER_DIEM,17901.327169732194,2017,taf,allowed_amount
0,OH,208.22452851244282,219.82789964852745,235.971397406375,311527.0,2422.0623864324652,245.19268068916796,107.44403956272775,149.0752158452689,PER_DIEM_wage_adj,22223.41997931351,2017,taf,allowed_amount
0,OK,141.16,145.38,149.46,642544.0,715.2,153.99174232426108,11.84,47.303421176621576,PER_DIEM,2237.6136550128504,2017,taf,allowed_amount
0,OK,163.80449141347427,179.9438632304159,186.06787445776982,499262.0,385.4748603351955,182.56911498202274,13.033905768383972,44.33632499932797,PER_DIEM_wage_adj,1965.7097144460345,2017,taf,allowed_amount
0,OR,281.28,301.7,301.7,65483.0,1331.37,328.0479072431011,45.34,93.27165034395388,PER_DIEM,8699.600757884791,2017,taf,allowed_amount
0,OR,246.9711853307138,259.192439862543,287.36070101914464,54833.0,1125.2119249452328,285.726608512994,37.11525867714473,85.30471251428114,PER_DIEM_wage_adj,7276.893977144152,2017,taf,allowed_amount
0,PA,181.75,200.74,224.04,695304.0,2352.45,223.75421112204157,87.89,155.58197428753806,PER_DIEM,24205.750723208155,2017,taf,allowed_amount
0,PA,192.4239431054919,215.66848906560637,239.4507410636443,580743.0,3006.325878594249,236.89521928867066,136.17765814266488,164.03965585503232,PER_DIEM_wage_adj,26909.00869303744,2017,taf,allowed_amount
0,RI,201.77,236.85,292.22,38298.0,1989.47,313.8807151809494,83.62,212.46611381122892,PER_DIEM,45141.84951804608,2017,taf,allowed_amount
0,RI,188.8069578370202,219.62563811684626,261.1930421629798,33170.0,1343.7984496124031,284.0199213810747,86.6988088485536,195.09306457231418,PER_DIEM_wage_adj,38061.30384421715,2017,taf,allowed_amount
0,SC,125.28,146.91,176.51,156643.0,2007.98,173.44202971087122,1.26,128.25919145682204,PER_DIEM,16450.420193157734,2017,taf,allowed_amount
0,SC,146.84437006932822,168.18237379293484,194.50975326185247,121481.0,1508.7753950338601,199.10340745020676,71.296,149.9907242403776,PER_DIEM_wage_adj,22497.217358152997,2017,taf,allowed_amount
0,SD,96.97,121.72,154.89,42145.0,993.72,137.21843801162655,40.56,76.41436614857375,PER_DIEM,5839.155353888293,2017,taf,allowed_amount
0,SD,119.61524412516741,147.1691221234628,180.3360525995373,32271.0,1231.6807139315817,159.28252669630035,72.36708432102947,76.310919762034,PER_DIEM_wage_adj,5823.356474927592,2017,taf,allowed_amount
0,TN,464.02,509.61,760.71,11094.0,4424.1,615.3031521543177,285.43,352.58539901340845,PER_DIEM,124316.46359744444,2017,taf,allowed_amount
0,TN,,,,0.0,,,,,PER_DIEM_wage_adj,,2017,taf,allowed_amount
0,TX,145.55,163.04,184.87,411647.0,2966.1,169.54676416930036,15.92,61.62478959572933,PER_DIEM,3797.61469271791,2017,taf,allowed_amount
0,TX,147.4624180907105,179.9846793609105,210.31707317073173,172908.0,3617.19512195122,181.1373775718818,16.088933804951996,53.426831343413916,PER_DIEM_wage_adj,2854.4263073975953,2017,taf,allowed_amount
0,UT,177.66,189.79,199.6,126398.0,910.8,214.8061424231396,42.15,100.96836511672146,PER_DIEM,10194.610754343574,2017,taf,allowed_amount
0,UT,194.44618436162438,208.29603414177163,236.73014812339903,105892.0,1205.7513661202186,260.17070010382514,62.20899885165467,157.20097410234803,PER_DIEM_wage_adj,24712.146258727098,2017,taf,allowed_amount
0,VA,159.12,183.5,219.18,243997.0,3397.26,203.466998364734,7.4,102.45007128673221,PER_DIEM,10496.017106656513,2017,taf,allowed_amount
0,VA,184.61741077308048,209.2190175161333,236.00684841301197,201878.0,1058.3432108521006,219.73294621907198,112.20108997886776,66.25824159996863,PER_DIEM_wage_adj,4390.154579919814,2017,taf,allowed_amount
0,VT,204.04,232.07,255.19,29831.0,893.6,241.97905936777178,143.21,76.17005208384496,PER_DIEM,5801.876834455654,2017,taf,allowed_amount
0,VT,207.92448916087545,235.9204368174727,264.69245928845555,29086.0,926.8748055180998,249.6834982480982,148.5426822943678,70.09502700523026,PER_DIEM_wage_adj,4913.312810863959,2017,taf,allowed_amount
0,WA,200.38,210.36,222.29,331169.0,829.3,223.9336490734338,2.33,60.92130290627937,PER_DIEM,3711.4051477986436,2017,taf,allowed_amount
0,WA,175.5261180007516,186.47501948220625,201.83363893982332,305633.0,641.1810546367651,195.75774748385584,23.932808035327735,43.40606635916312,PER_DIEM_wage_adj,1884.0865967760722,2017,taf,allowed_amount
0,WI,159.75,168.75,185.11,74768.0,1592.0,186.4884260646266,36.07,63.2139630631088,PER_DIEM,3996.0051261440835,2017,taf,allowed_amount
0,WI,165.9929039888184,174.27560274275604,186.232689780653,60684.0,644.147465437788,188.30517457575507,38.78077626061714,57.55201457262796,PER_DIEM_wage_adj,3312.234381367981,2017,taf,allowed_amount
0,WV,223.84,271.16,391.84,104705.0,5509.35,345.4164821164224,70.35,245.0755715742117,PER_DIEM,60062.03578242655,2017,taf,allowed_amount
0,WV,289.25294888597637,334.6980692865946,448.7607832397645,76925.0,3142.398546335554,399.3420513153729,96.3302752293578,249.0851070177531,PER_DIEM_wage_adj,62043.39053804552,2017,taf,allowed_amount
0,WY,176.94,185.52,197.79,30825.0,1113.12,209.34188548256284,53.78,101.50599681185963,PER_DIEM,10303.467388769257,2017,taf,allowed_amount
0,WY,186.43643098376728,197.70127464865453,213.61804118095654,26591.0,1520.655737704918,222.210017809295,78.23292297635908,113.86396319913575,PER_DIEM_wage_adj,12965.00211541414,2017,taf,allowed_amount
0,AK,400.0,647.48,867.47,13385.0,6965.86,699.2968322749346,154.77,414.6794340892917,PER_DIEM,171959.0330566152,2018,taf,allowed_amount
0,AK,399.5608812146473,476.31048387096774,695.6050908008336,12136.0,3279.562369752903,532.5332882546113,115.19053289669546,212.0553280103256,PER_DIEM_wage_adj,44967.462137566785,2018,taf,allowed_amount
0,AL,194.23,209.19,218.36,278796.0,715.0,228.66919292242358,64.11,92.09865855085098,PER_DIEM,8482.162906866237,2018,taf,allowed_amount
0,AL,259.3704066634003,285.65223686115536,310.42420732590125,260727.0,1015.829183642674,310.87476817999664,85.74294503142971,123.20363475438594,PER_DIEM_wage_adj,15179.135616692138,2018,taf,allowed_amount
0,AR,178.17,187.84,204.87,647371.0,754.0,203.1614140886756,20.88,61.78950262766851,PER_DIEM,3817.942634974654,2018,taf,allowed_amount
0,AR,229.18727915194347,251.7173144876325,275.095406360424,649627.0,1075.146157136746,268.0896909741884,25.05399568034557,81.68462432651222,PER_DIEM_wage_adj,6672.377851363432,2018,taf,allowed_amount
0,AZ,164.81,174.06,209.56,17550.0,989.81,218.96100968660969,9.31,106.59446409787219,PER_DIEM,11362.379776312562,2018,taf,allowed_amount
0,AZ,173.37304709452624,188.95133190963247,226.84050803641674,17394.0,982.1492359595157,226.94435172298589,10.464201416207711,112.05025529573504,PER_DIEM_wage_adj,12555.259711839399,2018,taf,allowed_amount
0,CA,196.52,230.55,260.46,1913309.0,2753.26,258.1359133678878,4.21,121.18911565545814,PER_DIEM,14686.80175335201,2018,taf,allowed_amount
0,CA,141.52903115954368,164.50197989643618,197.61804914870422,1746946.0,2222.7012190199407,191.2475376035175,3.3987244692015826,97.26950226283506,PER_DIEM_wage_adj,9461.356070459675,2018,taf,allowed_amount
0,CO,208.66,222.09,238.84,287031.0,1123.63,235.0305330783086,34.81,63.89126168506076,PER_DIEM,4082.093319708913,2018,taf,allowed_amount
0,CO,208.35748792270533,220.21814576103125,235.76811594202903,313279.0,1170.4479166666667,233.603752973902,33.632850241545896,62.968327732465745,PER_DIEM_wage_adj,3965.0102974232145,2018,taf,allowed_amount
0,CT,224.4,242.87,263.76,212667.0,2773.85,285.4814334146812,64.71,206.9517425596929,PER_DIEM,42829.0237484934,2018,taf,allowed_amount
0,CT,191.66215065417666,208.34559108152047,224.3357155946491,208494.0,2541.5521348726406,243.96193551231505,83.78229796591535,178.31362822036374,PER_DIEM_wage_adj,31795.7500091101,2018,taf,allowed_amount
0,DE,536.0,729.95,778.08,3219.0,1556.16,779.5461509785647,257.13,297.0945424107821,PER_DIEM,88265.16713027199,2018,taf,allowed_amount
0,DE,646.4449331134323,700.3115264797509,1350.7906388361796,2291.0,1448.2643089809214,848.1970667128185,235.59648158328753,326.6130434356474,PER_DIEM_wage_adj,106676.08014229611,2018,taf,allowed_amount
