,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var
0,NH,51.13025848960973,140.0,162.52448100274185,136795.0,1318.0571876224049,109.76347092202398,11.373542828180437,59.302309686666696,PER_DIEM_wage_adj,3516.763934173323
0,NJ,204.59,213.88,225.09,189350.0,1567.09,304.19171402165296,74.75,234.15454791943222,PER_DIEM,54828.35231135368
0,NJ,166.00794080490886,183.09871864284423,197.68092402093484,168245.0,1863.8082778306375,215.20395071991157,57.99968963376785,143.20254248163906,PER_DIEM_wage_adj,20506.96817320564
0,NM,275.6,308.55,377.4,9200.0,1796.94,329.65469239130437,83.33,90.46751807161932,PER_DIEM,8184.371826038769
0,NM,306.12990687256865,353.15336555463864,458.5149490745811,5148.0,1967.9553170518016,378.6692735022943,98.23175763291287,103.49379373678269,PER_DIEM_wage_adj,10710.965342031719
0,NV,117.79,125.65,234.21,73205.0,999.75,193.84831896728363,19.59,127.15387717322312,PER_DIEM,16168.108480183113
0,NV,100.72745308754236,115.66504091923616,250.57356053012586,78081.0,826.4445730346367,185.98059386082696,14.687456494500905,123.90502041205104,PER_DIEM_wage_adj,15352.454083310786
0,NY,220.06,266.36,294.18,2911218.0,1840.41,277.7227342988397,4.58,103.71978218766984,PER_DIEM,10757.793217057673
0,NY,198.6927334825109,220.65191717187622,241.69770328988207,2862021.0,2188.8796384395814,237.93804937306425,4.359413668379974,86.9013942552759,PER_DIEM_wage_adj,7551.852323510899
0,OH,181.97,194.39,209.8,390339.0,2774.08,210.19768534530246,25.33,70.67468399146674,PER_DIEM,4994.910957293684
0,OH,209.09288903408472,221.7575955570075,244.62489395224824,390139.0,3798.5485416951938,244.89840666655203,30.12965385987867,100.37027809843559,PER_DIEM_wage_adj,10074.1927255573
0,OK,141.42,145.38,149.02,642544.0,715.2,151.9692787575637,7.84,39.641161840044525,PER_DIEM,1571.4217120286023
0,OK,164.34390136503742,179.7544475068905,186.1061495279408,605590.0,789.6443657174002,183.07239446880624,8.630559225011009,42.78821030498635,PER_DIEM_wage_adj,1830.8309411037399
0,OR,281.28,301.7,301.7,65483.0,1331.37,315.8714182306858,27.22,50.46627878683767,PER_DIEM,2546.845294590822
